Year,State,Region,Percentage
2003,Missouri,Midwest,6.6
2003,Montana,West,5.2
2003,Nebraska,Midwest,6.1
2003,Nevada,West,6.4
2003,New Hampshire,Northeast,5.5
2003,New Jersey,Northeast,6.9
2003,New Mexico,West,5.6
2003,New York,Northeast,7.2
2003,North Carolina,South,8.1
2003,North Dakota,Midwest,5.7
2003,Ohio,Midwest,8.5
2003,Oklahoma,South,6.9
2003,Oregon,West,6.1
2003,Pennsylvania,Northeast,7.4
2003,Rhode Island,Northeast,6.5
2003,South Carolina,South,9.1
2003,South Dakota,Midwest,6.6
2003,Tennessee,South,9.2
2003,Texas,South,8.4
2003,Utah,West,6.4
2003,Vermont,Northeast,5.6
2003,Virginia,South,7.2
2003,Washington,West,6.6
2003,West Virginia,South,8.9
2003,Wisconsin,Midwest,5.8
2003,Wyoming,West,5.6
2004,Alabama,South,7.9
2004,Alaska,West,4.4
2004,Arizona,West,6.5
2004,Arkansas,South,6.7
2004,California,West,7.5
2004,Colorado,West,4.6
2004,Connecticut,Northeast,5.7
2004,Delaware,South,6.9
2004,District of Columbia,South,9.0
2004,Florida,South,7.0
2004,Georgia,South,7.9
2004,Hawaii,West,0.0
2004,Idaho,West,6.2
2004,Illinois,Midwest,6.0
2004,Indiana,Midwest,7.6
2004,Iowa,Midwest,5.9
2004,Kansas,Midwest,6.4
2004,Kentucky,South,7.4
2004,Louisiana,South,8.3
2004,Maine,Northeast,7.0
2004,Maryland,South,7.3
2004,Massachusetts,Northeast,5.5
2004,Michigan,Midwest,7.5
2004,Minnesota,Midwest,5.1
2004,Mississippi,South,9.4
2004,Missouri,Midwest,7.0
2004,Montana,West,5.5
2004,Nebraska,Midwest,6.1
2004,Nevada,West,6.5
2004,New Hampshire,Northeast,6.4
2004,New Jersey,Northeast,6.6
2004,New Mexico,West,6.4
2004,New York,Northeast,7.4
2004,North Carolina,South,8.4
2004,North Dakota,Midwest,5.4
2004,Ohio,Midwest,7.6
2004,Oklahoma,South,7.7
2004,Oregon,West,6.4
2004,Pennsylvania,Northeast,7.2
2004,Rhode Island,Northeast,6.9
2004,South Carolina,South,8.2
2004,South Dakota,Midwest,6.2
2004,Tennessee,South,8.2
2004,Texas,South,8.1
2004,Utah,West,5.8
2004,Vermont,Northeast,5.2
2004,Virginia,South,7.2
2004,Washington,West,6.4
2004,West Virginia,South,10.0
2004,Wisconsin,Midwest,5.5
2004,Wyoming,West,5.8
2005,Alabama,South,9.3
2005,Alaska,West,5.6
2005,Arizona,West,7.3
2005,Arkansas,South,7.7
2005,California,West,7.4
2005,Colorado,West,5.1
2005,Connecticut,Northeast,6.1
2005,Delaware,South,8.3
2005,District of Columbia,South,7.6
2005,Florida,South,7.9
2005,Georgia,South,8.9
2005,Hawaii,West,7.0
2005,Idaho,West,6.8
2005,Illinois,Midwest,7.9
2005,Indiana,Midwest,8.1
2005,Iowa,Midwest,6.3
2005,Kansas,Midwest,6.7
2005,Kentucky,South,8.6
2005,Louisiana,South,9.1
2005,Maine,Northeast,6.8
2005,Maryland,South,7.1
2005,Massachusetts,Northeast,6.2
2005,Michigan,Midwest,7.9
2005,Minnesota,Midwest,5.7
2005,Mississippi,South,9.6
2005,Missouri,Midwest,7.5
2005,Montana,West,5.2
2005,Nebraska,Midwest,7.1
2005,Nevada,West,7.1
2005,New Hampshire,Northeast,6.3
2005,New Jersey,Northeast,7.3
2005,New Mexico,West,7.0
2005,New York,Northeast,7.9
2005,North Carolina,South,8.4
2005,North Dakota,Midwest,6.2
2005,Ohio,Midwest,7.3
2005,Oklahoma,South,8.6
2005,Oregon,West,6.5
2005,Pennsylvania,Northeast,7.5
2005,Rhode Island,Northeast,6.2
2005,South Carolina,South,10.1
